Name,Award Criteria,#,Internal ID,Internal Name,Internal Category,Num of Tiers,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Reward Tier 1,Reward Tier 2,Reward Tier 3,Reward Tier 4,Reward Tier 5,Reward Tier 6,Sequential,Version,Unique Entry ID
(island name) Miles!,Awarded when Nook Miles program is first unlocked,1,53,ImmigratetoIsland,Event,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,QvQq6d4qJgCiBkMLX
Angling for Perfection!,Number of total fish caught,2,0,CatchFish,Fish,5,10,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,wkj9WzycBpxtq6CDG
Island Ichthyologist,Number of unique fish caught,3,3,FillFishList,Fish,5,10,20,40,60,80,300,500,1000,2000,3000,0,Yes,1.0.0,Ajpkv8wXcZLqM8bMT
Island Togetherness,Number of days in which you've talked to every one of your villagers,4,68,GreetAllVillager,Communication,5,1,10,20,30,50,300,500,1000,2000,3000,0,Yes,1.0.0,syoxyxWL7ymwpKpGN
You've Got the Bug,Number of total bugs caught,5,1,CatchInsect,Insect,5,10,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,weJ4f9MDdBuzLBrBM
Bugs Don't Bug Me,Number of unique bugs caught,6,4,FillInsectList,Insect,5,10,20,40,60,80,300,500,1000,2000,3000,0,Yes,1.0.0,ttRSm74XC4MzSHgnX
Have a Nice DIY!,Number of DIY recipes collected,7,55,FillRecipeList,DIY,5,10,50,100,150,200,300,500,1000,2000,3000,0,Yes,1.0.0,fsanquagmfwNCY8wW
DIY Tools,Number of tools you've crafted,8,72,DIYTool,DIY,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,6k5CnRgbm55m93jMT
DIY Furniture,Number of furniture pieces you've crafted,9,73,DIYFurniture,DIY,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,TprrYjwsCvZbDdcvK
Furniture Freshener,Number of times you've customized furniture at a workbench,10,14,RemakeFurniture,DIY,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,viHJXo8XB8C3h259Q
Rough-hewn,Number of times you've chopped wood from trees,11,67,StrikeWood,DIY,5,20,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,btjGeCA3qDRLwhuZE
Trashed Tools,Number of tools you've broken,12,49,BreakTool,HHA,5,1,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,YhhXqkerTwLu4ewXi
Rock-Splitting Champ,Awarded the first time you get 8 ores/stones from striking a rock,13,57,StrikeRock8Times,HHA,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,hgxFRczyFtmSmiTEG
Bona Fide Bone Finder!,Awarded the first time you dig up a fossil,14,61,DigFossil,HHA,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,za7CbkxtzEysWCFJg
Fossil Assessment,Number of fossils you've had assessed by Blathers,15,62,JudgeFossil,HHA,5,5,30,100,300,500,300,500,1000,2000,3000,0,Yes,1.0.0,SYs89hReg8PJPhi7b
Greedy Weeder,Number of weed clumps you've sold to the shop,16,37,SellWeed,Plant,5,50,200,1000,2000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,MRjh6LGccgw56xxca
Flower Power,Number of flower seeds you've planted (does not count digging up and replanting existing flowers),17,6,PlantFlowerSeed,Plant,5,10,50,100,200,300,300,500,1000,2000,3000,0,Yes,1.0.0,aub4aeJa7i4ps92vt
Flower Tender,Number of flowers you've watered,18,23,WaterPlant,Plant,5,10,50,100,500,1000,300,500,1000,2000,3000,0,Yes,1.0.0,8JeajqbS7bHbJ4KPH
Tomorrow's Trees Today,Number of tree saplings you've planted (does not count planting fruits or replanting existing trees),19,8,PlantTreeSeedling,Plant,3,5,10,30,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,eeDWd35DjuJy7CsM5
Pick of the Bunch,Number of fruits you've sold to the shop,20,70,SellFruit,Plant,5,20,100,500,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,tGg8gEWooCRFAn2Km
Fruit Roots,"Awarded for each unique fruit tree you've planted (cherry, orange, pear, peach, apple, and coconut)",21,7,PlantFruit,Plant,6,0,0,0,0,0,100,200,300,500,700,1000,No,1.0.0,tNSnLaumH2MbDMSqK
Shrubbery Hububbery,Number of shrub starts you've planted (replanting existing shrubs),22,92,PlantBushSeedling,Plant,3,1,2,20,0,0,300,500,1000,0,0,0,Yes,1.2.0,kosAYGQuM92yWsRZx
Go Ahead. Be Shellfish!,Number of seashells you've sold to the shop,23,69,SellShell,Fish,5,10,50,200,500,1000,300,500,1000,2000,3000,0,Yes,1.0.0,eycL6Ntub97uvKwgB
Clam and Collected,Number of clams you've dug up,24,63,DigShell,Fish,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,MsKyNAx2BBitXF4SQ
Trash Fishin',"Number of trash items (cans, tires, or boots) you've fished up",25,32,CatchTrash,Fish,3,3,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,gYpEcg4qf7X46Svfz
Cast Master,Number of fish you've caught in a single streak without any getting away,26,2,CatchFishContinuously,Fish,3,10,50,100,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,PcXyzjRR7mMRJMpWA
Dream House,Number of times you've expanded your home,27,82,ExtendMyHome,Event,5,1,2,5,6,7,500,1000,2000,3000,5000,0,Yes,1.0.0,FLDPYLE7KWu8S9uPg
Decorated Decorator,"Awarded the first time you get an ""S"" ranking from the HHA",28,40,GetSRankonHHA,Event,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,kzJaqFiCaRivejX2x
Hoard Reward,Number of furniture pieces you've placed in your house,29,78,PlaceFurnitureMyHouse,Event,5,5,15,30,100,150,300,1000,2000,3000,5000,0,Yes,1.0.0,k6RF4XJhEdk3DWupM
Good Things in Store!,Number of items you've placed in your home storage,30,77,HouseStorageItem,Event,5,20,50,100,200,300,300,1000,2000,3000,5000,0,Yes,1.0.0,vmFkmQFGyKNS6gPdo
Remarkable Remodeler,Number of times you've remodeled the outside appearance of your home,31,81,ReformMyHome,Event,3,1,3,5,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,ZqLiA9gGSKTBGZQgZ
Smile Isle,Number of villager requests you've fulfilled (such as returning lost items),32,59,AchieveVillagersQuest,Communication,5,1,10,50,100,300,300,500,1000,2000,3000,0,Yes,1.0.0,2Cf5yBG3NFSeozMg2
Reaction Ruler,Number of reactions you've learned,33,31,FillReactionList,Communication,5,1,10,20,30,42,300,500,1000,2000,3000,0,Yes,1.0.0,GRKenaH9cZf7SF3io
Island Shutterbug,"Awarded the first time you take a photo using the camera app on the NookPhone (screenshot button does not count, must use the app)",34,75,TakePicture,Smartphone,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,amPim5PB25MTaEnZH
Edit Credit,"Awarded the first time you edit your Passport (title, comment, or photo)",35,87,UpdatePassport,Smartphone,1,1,0,0,0,0,300,1000,2000,3000,5000,0,Yes,1.0.0,97AnkL7nAoQsXaCR8
NookPhone Life,Awarded after the 10th time you open your NookPhone,36,76,BootPhoneBeginner,Smartphone,1,10,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,38g3QBF9r9HdzdhA5
That's One Smart Phone,Awarded after the 1000th time you open your NookPhone,37,56,BootPhone,Smartphone,1,1000,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,usRtbx9sTQwpwKzT3
